2022-05-30 08:46:06.694 INFO [zulip.slow_queries] 127.0.0.1       GET     200 19.1s (md: 53ms/1) (db: 10ms/5q) (+start: 18ms) /devlogin/ (unauth@zulip via Mozilla)
2022-05-30 09:58:14.954 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.4s (mem: 9ms/12) (db: 115ms/41q) (+start: 118ms) / [1653904678:0] (24@demo-fzgs0778 via Mozilla)
2022-05-30 10:25:44.618 INFO [zulip.slow_queries] 127.0.0.1       GET     200  6.3s (mem: 22ms/12) (db: 185ms/40q) (+start: 101ms) / [1653906329:0] (9@zulip via Mozilla)
2022-05-31 04:20:38.014 INFO [zulip.slow_queries] 127.0.0.1       GET     200  5.2s (db: 2.6s/2q) (+start: 2.5s) /emails/ (9@zulip via Mozilla)
2022-05-31 04:20:41.323 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.9s (mem: 12ms/13) (db: 3.3s/41q) (+start: 15ms) / [1653970797:0] (9@zulip via Mozilla)
2022-05-31 04:20:44.363 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 41ms/24) (db: 1.3s/12q) /json/messages [in] (9@zulip via Mozilla)
2022-05-31 04:20:44.377 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 47ms/27) (db: 1.3s/17q) /json/messages (9@zulip via Mozilla)
2022-05-31 06:12:09.456 INFO [zulip.slow_queries] 127.0.0.1       GET     200  2.8s (mem: 22ms/13) (db: 164ms/42q) (+start: 49ms) / [1653977513:0] (9@zulip via Mozilla)
2022-05-31 07:57:43.636 INFO [zulip.slow_queries] 127.0.0.1       POST    500  1.8s (mem: 12ms/37) (db: 1.0s/67q) (+start: 15ms) /accounts/register/ (9@zulip via Mozilla)
2022-05-31 09:40:14.322 INFO [zulip.slow_queries] 127.0.0.1       POST    500  1.3s (mem: 13ms/36) (db: 246ms/65q) (+start: 18ms) /accounts/register/ (9@zulip via Mozilla)
2022-06-01 04:14:15.689 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.4s (mem: 12ms/11) (db: 2.9s/39q) (+start: 12ms) / [1654056766:0] (9@zulip via Mozilla)
2022-06-01 04:14:18.031 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.3s (mem: 40ms/24) (db: 1.0s/12q) /json/messages [in] (9@zulip via Mozilla)
2022-06-01 04:14:18.037 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.3s (mem: 46ms/26) (db: 1.1s/17q) /json/messages (9@zulip via Mozilla)
2022-06-01 05:29:12.205 INFO [zulip.slow_queries] 127.0.0.1       POST    302  4.9s (db: 4ms/2q) (+start: 12ms) /accounts/password/reset/ (9@zulip via Mozilla)
2022-06-01 05:35:09.828 INFO [zulip.slow_queries] 127.0.0.1       GET     200  2.8s (mem: 16ms/11) (db: 136ms/40q) (+start: 20ms) / [1654061693:0] (9@zulip via Mozilla)
2022-06-01 11:05:25.038 INFO [zulip.slow_queries] 127.0.0.1       POST    302  4.9s (db: 5ms/2q) (+start: 13ms) /accounts/password/reset/ (9@zulip via Mozilla)
2022-06-02 04:57:13.912 INFO [zulip.slow_queries] 127.0.0.1       GET     200  4.0s (mem: 13ms/14) (db: 3.3s/43q) (+start: 505ms) / [1654144633:0] (9@zulip via Mozilla)
2022-06-02 06:16:59.120 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.1s (mem: 12ms/12) (db: 102ms/40q) (+start: 103ms) / [1654150601:0] (9@zulip via Mozilla)
2022-06-02 10:25:08.966 INFO [zulip.slow_queries] 127.0.0.1       GET     200  7.2s (mem: 21ms/18) (db: 164ms/39q) (+start: 27ms) / [1654165490:0] (9@zulip via Mozilla)
2022-06-02 10:25:09.188 INFO [zulip.slow_queries] 127.0.0.1       GET     200  4.3s (db: 113ms/35q) (+start: 22ms) / [1654165490:1] (9@zulip via Mozilla)
2022-06-02 12:13:01.546 INFO [zulip.slow_queries] 127.0.0.1       POST    302  5.0s (db: 324ms/13q) (+start: 15ms) /join/7enbruuwu4qoi74lqljvk2q6/ (9@zulip via Mozilla)
2022-06-02 12:13:04.177 INFO [zulip.slow_queries] 127.0.0.1       POST    302  3.6s (db: 105ms/12q) (+start: 13ms) /join/7enbruuwu4qoi74lqljvk2q6/ (9@zulip via Mozilla)
2022-06-02 12:14:23.611 INFO [zulip.slow_queries] 127.0.0.1       POST    302  8.6s (mem: 18ms/51) (md: 5ms/2) (db: 1.2s/87q) (+start: 15ms) /accounts/register/ (28@zulip via Mozilla)
2022-06-02 12:14:27.189 INFO [zulip.slow_queries] 127.0.0.1       POST    200  1.2s (db: 1.0s/8q) /json/messages/flags [add read/1] actually 1 (28@zulip via Mozilla)
2022-06-02 13:41:35.584 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.6s (mem: 10ms/14) (db: 101ms/43q) (+start: 85ms) / [1654177280:0] (9@zulip via Mozilla)
2022-06-03 04:21:19.711 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.7s (mem: 14ms/14) (db: 3.1s/43q) (+start: 524ms) / [1654229695:0] (9@zulip via Mozilla)
2022-06-03 04:21:22.681 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 51ms/26) (db: 1.1s/17q) /json/messages (9@zulip via Mozilla)
2022-06-03 04:21:22.682 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 54ms/26) (db: 1.1s/12q) /json/messages [in] (9@zulip via Mozilla)
2022-06-03 11:55:19.830 INFO [zulip.slow_queries] 127.0.0.1       GET     500  1.4s (db: 72ms/34q) (+start: 18ms) / [1654247325:56] (9@zulip via Mozilla)
2022-06-03 13:16:41.152 INFO [zulip.slow_queries] 127.0.0.1       GET     500  1.4s (db: 76ms/34q) (+start: 18ms) / [1654247325:89] (9@zulip via Mozilla)
2022-06-03 14:02:46.230 INFO [zulip.slow_queries] 127.0.0.1       GET     200 41.0s (mem: 22ms/24) (db: 125ms/43q) (+start: 93ms) / [1654264912:0] (9@zulip via Mozilla)
2022-06-03 14:02:46.254 INFO [zulip.slow_queries] 127.0.0.1       GET     200 17.8s (mem: 7ms/10) (db: 85ms/35q) (+start: 13ms) / [1654264912:1] (9@zulip via Mozilla)
2022-06-03 14:02:46.345 INFO [zulip.slow_queries] 127.0.0.1       GET     200 11.0s (db: 102ms/35q) (+start: 17ms) / [1654264912:2] (9@zulip via Mozilla)
2022-06-04 11:21:44.706 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.9s (mem: 14ms/14) (db: 3.3s/43q) (+start: 436ms) / [1654341558:0] (9@zulip via Mozilla)
2022-06-04 11:21:48.823 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 50ms/25) (db: 1.3s/16q) /json/messages (9@zulip via Mozilla)
2022-06-04 11:21:48.823 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 54ms/26) (db: 1.3s/12q) /json/messages [in] (9@zulip via Mozilla)
2022-06-06 04:17:36.303 INFO [zulip.slow_queries] 127.0.0.1       GET     200  4.2s (mem: 16ms/14) (db: 3.5s/43q) (+start: 639ms) / [1654488873:0] (9@zulip via Mozilla)
2022-06-06 04:17:44.112 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.3s (mem: 58ms/23) (db: 951ms/12q) (+start: 125ms) /json/messages [in] (9@zulip via Mozilla)
2022-06-06 04:17:44.117 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.4s (mem: 64ms/27) (db: 1.1s/17q) /json/messages (9@zulip via Mozilla)
2022-06-06 12:43:55.573 INFO [zulip.slow_queries] 127.0.0.1       GET     200  3.0s (mem: 8ms/11) (db: 84ms/40q) (+start: 13ms) / [1654519419:0] (9@zulip via Mozilla)
2022-06-07 04:37:03.218 INFO [zulip.slow_queries] 127.0.0.1       GET     200  4.2s (mem: 18ms/14) (db: 3.2s/43q) (+start: 525ms) / [1654576327:0] (9@zulip via Mozilla)
2022-06-07 04:37:06.388 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 68ms/25) (db: 1.2s/17q) /json/messages (9@zulip via Mozilla)
2022-06-07 04:37:06.391 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.5s (mem: 69ms/27) (db: 1.2s/12q) /json/messages [in] (9@zulip via Mozilla)
2022-06-08 04:31:53.367 INFO [zulip.slow_queries] 127.0.0.1       GET     200  4.0s (mem: 21ms/19) (db: 3.3s/43q) (+start: 622ms) / [1654661759:0] (9@zulip via Mozilla)
2022-06-08 04:31:56.323 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.3s (mem: 46ms/25) (db: 1.0s/11q) /json/messages [in] (9@zulip via Mozilla)
2022-06-08 04:31:56.323 INFO [zulip.slow_queries] 127.0.0.1       GET     200  1.3s (mem: 50ms/26) (db: 1.0s/17q) /json/messages (9@zulip via Mozilla)
2022-06-08 05:26:35.045 INFO [zulip.slow_queries] 127.0.0.1       GET     200  2.8s (db: 70ms/35q) (+start: 16ms) / [1654661759:62] (9@zulip via Mozilla)
2022-06-08 05:34:55.609 INFO [zulip.slow_queries] 127.0.0.1       GET     500  1.4s (db: 81ms/34q) (+start: 21ms) / [1654661759:68] (9@zulip via Mozilla)
2022-06-08 07:27:22.151 INFO [zulip.slow_queries] 127.0.0.1       POST    302  5.3s (db: 221ms/12q) (+start: 12ms) /join/6woucluo25q4wqooh4b64kxu/ (9@zulip via Mozilla)
